Item,Qty,Reference(s),Value,Mouser
1,2,"C1, C4",0.1uF,
2,2,"C2, C3",15pF,
3,1,J1,KBIN,806-KMDGX-6S-BS
4,1,J2,KBOUT,
5,1,J3,ISP,
6,1,J4,FTDI BASIC,
7,1,J5,SPEAKER,
8,1,R1,10K,
9,1,U1,ATmega328P-A,
10,1,U2,ADG711,584-ADG711BRUZ-R7
11,1,Y1,16MHz,815-ABM3-16-B2-T
